2017-05-26 17:26:04,407 [myid:] - INFO  [main:QuorumPeerConfig@106] - Reading configuration from: /home/ryan/software/zookeeper/bin/../conf/zoo.cfg
2017-05-26 17:26:04,411 [myid:] - WARN  [main:QuorumPeerConfig@306] - Non-optimial configuration, consider an odd number of servers.
2017-05-26 17:26:04,411 [myid:] - INFO  [main:QuorumPeerConfig@350] - Defaulting to majority quorums
2017-05-26 17:26:04,414 [myid:1] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2017-05-26 17:26:04,415 [myid:1] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2017-05-26 17:26:04,415 [myid:1] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2017-05-26 17:26:04,424 [myid:1] - INFO  [main:QuorumPeerMain@124] - Starting quorum peer
2017-05-26 17:26:04,432 [myid:1] - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2017-05-26 17:26:04,444 [myid:1] - INFO  [main:QuorumPeer@967] - tickTime set to 2000
2017-05-26 17:26:04,444 [myid:1] - INFO  [main:QuorumPeer@987] - minSessionTimeout set to -1
2017-05-26 17:26:04,444 [myid:1] - INFO  [main:QuorumPeer@998] - maxSessionTimeout set to -1
2017-05-26 17:26:04,444 [myid:1] - INFO  [main:QuorumPeer@1013] - initLimit set to 10
2017-05-26 17:26:04,450 [myid:1] - INFO  [main:DHService@25] - dhServerAddr set to pano1
2017-05-26 17:26:04,450 [myid:1] - INFO  [main:DHService@34] - dhServerPort set to 6688
2017-05-26 17:26:04,641 [myid:1] - INFO  [main:DHService@79] - DeepHealth client initialized
May 26, 2017 5:26:04 PM edu.jhu.order.deephealth.DHClient Ping
INFO: Got ping reply with time: 17:26:04:893
2017-05-26 17:26:04,927 [myid:1] - INFO  [main:QuorumPeer@479] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2017-05-26 17:26:04,939 [myid:1] - INFO  [main:QuorumPeer@494] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2017-05-26 17:26:04,949 [myid:1] - INFO  [Thread-1:QuorumCnxManager$Listener@504] - My election bind port: pano1/10.0.0.5:3888
2017-05-26 17:26:04,950 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.7:40020
2017-05-26 17:26:04,954 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.13:37440
2017-05-26 17:26:04,955 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.4:55792
2017-05-26 17:26:04,955 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 9 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,958 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.8:43880
2017-05-26 17:26:04,959 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 6 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,959 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,959 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 0 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,959 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.10:42470
2017-05-26 17:26:04,959 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 4 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,960 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.9:60604
2017-05-26 17:26:04,960 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 6 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,961 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 5 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,973 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.12:33888
2017-05-26 17:26:04,974 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 8 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 8 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
May 26, 2017 5:26:04 PM edu.jhu.order.deephealth.DHClient SubmitReport
INFO: Submitting report from peer@1 about peer@1 at 1495819564975
2017-05-26 17:26:04,977 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 8 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,993 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.11:36830
2017-05-26 17:26:04,994 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 7 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 7 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:04,995 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 7 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,011 [myid:1] - INFO  [pano1/10.0.0.5:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.6:57958
2017-05-26 17:26:05,011 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,012 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 6 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,012 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
May 26, 2017 5:26:05 PM edu.jhu.order.deephealth.DHClient SubmitReport
INFO: Result: ACCEPTED
2017-05-26 17:26:05,024 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:QuorumPeer@722] - LOOKING
2017-05-26 17:26:05,025 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@815] - New election. My id =  1, proposed zxid=0x0
2017-05-26 17:26:05,026 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 1 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,027 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,230 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:QuorumPeer@792] - FOLLOWING
2017-05-26 17:26:05,233 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Learner@86] - TCP NoDelay set to: true
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:zookeeper.version=3.4.6--1, built on 05/12/2017 06:10 GMT
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:host.name=10.0.0.5
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.version=1.8.0_131
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.vendor=Oracle Corporation
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.class.path=/home/ryan/software/zookeeper/bin/../build/classes:/home/ryan/software/zookeeper/bin/../build/lib/slf4j-log4j12-1.6.1.jar:/home/ryan/software/zookeeper/bin/../build/lib/slf4j-api-1.6.1.jar:/home/ryan/software/zookeeper/bin/../build/lib/netty-3.7.0.Final.jar:/home/ryan/software/zookeeper/bin/../build/lib/log4j-1.2.16.jar:/home/ryan/software/zookeeper/bin/../build/lib/jline-0.9.94.jar:/home/ryan/software/zookeeper/bin/../build/lib/dh-client-1.0-with-dependencies.jar:/home/ryan/software/zookeeper/bin/../lib/dh-client-1.0-with-dependencies.jar:/home/ryan/software/zookeeper/bin/../zookeeper-*.jar:/home/ryan/software/zookeeper/bin/../src/java/lib/ivy-2.2.0.jar:/home/ryan/software/zookeeper/bin/../conf:
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.io.tmpdir=/tmp
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.compiler=<NA>
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.name=Linux
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.arch=amd64
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.version=4.4.0-77-generic
2017-05-26 17:26:05,243 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.name=ryan
2017-05-26 17:26:05,244 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.home=/home/ryan
2017-05-26 17:26:05,244 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.dir=/home/ryan/software/zookeeper
2017-05-26 17:26:05,244 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:ZooKeeperServer@165] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /mnt/fuser/zookeeper/version-2 snapdir /mnt/fuser/zookeeper/version-2
2017-05-26 17:26:05,245 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:Follower@67] - FOLLOWING - LEADER ELECTION TOOK - 220
